,要件,最終判断
7178,また、受託者は、上記の作業に伴って必要な作業を実施すること。,その他
7179,受託者の作業に当たっては、下記の要件を満たすこと。,その他
7180,単体テストに必要な環境は受託者の負担で準備、設置すること。,その他
7181,テストデータは、原則として疑似データとし、受託者が作成すること。,その他
7182,受託者は、職業安定局の要請に基づき、成果物の提供に応じること。,その他
7183,ただし、事前に取決めのない成果物については、職業安定局と受託者で協議の上、決定するものとする。,その他
7184,受託者は、職業安定局による対応の指示があった場合は、必要な対応について職業安定局と協議の上、その指示に従うこと。,その他
7185,受託者は、結合テスト実施計画書を作成し、職業安定局の承認を得ること。,その他
7186,また、結合テスト実施計画書に基づき、結合テスト実施手順書を作成し、職業安定局の承認を得ること。,その他
7187,受託者は、結合テスト実施手順書に基づいて、結合テストを実施し、品質を検証すること。,その他
7188,結合テストの結果については、結合テスト結果報告書として職業安定局に報告し、承認を得ること。,その他
7189,また、受託者は、上記の作業に伴って必要な作業を実施すること。,その他
7190,受託者の作業に当たっては、下記の要件を満たすこと。,その他
7191,受託者は、結合テストに係る作業の実施に当たって、他事業者との調整等が必要な場合には、職業安定局の指示の下、運用事業者、関連事業者と協力して、受託者が主導的に作業を進めること。,その他
7192,テストデータは、原則として疑似データとし、受託者が作成すること。,その他
7193,受託者は職業安定局の要請に基づき、必要に応じてテスト結果の証跡を職業安定局に提出すること。,その他
7194,本調達対象外の機能と共通で使用しているモジュール、データベース等の改修を行う場合、本調達対象外の機能に影響が発生していないことについても、受託者の責任でテストを実施すること。,保守性
7195,結合テストに必要な環境は受託者の負担で準備、設置すること。,その他
7196,その際、改修対象のプログラムが本情報システムのインフラ基盤と整合性を図るよう留意すること。,その他
7197,また、改修対象以外の機能との連携が発生する場合は、必要に応じて当該機能の環境についても構築し、テストに不足を生じさせないよう留意すること。,その他
7198,また、瑕疵担保期間においても障害対応の実施のため、構築したテスト環境を保持し続けること。,その他
7199,受託者は、総合テスト実施計画書を作成し、職業安定局の承認を得ること。,その他
7200,また、総合テスト実施計画書に基づき、総合テスト実施手順書を作成し、職業安定局の承認を得ること。,その他
7201,受託者は、総合テスト実施手順書に基づいて、総合テストを実施し、品質を検証すること。,その他
7202,総合テストにおいては、性能、信頼性、運用性、セキュリティ等、本情報システム全体の検証を実施すること。,その他
7203,総合テストの結果については、総合テスト結果報告書として職業安定局に報告し、承認を得ること。,その他
7204,また、受託者は、上記の作業に伴って必要な作業を実施すること。,その他
7205,受託者の作業に当たっては、下記の要件を満たすこと。,その他
7206,受託者は、総合テストに係る作業の実施に当たって、他事業者との調整等が必要な場合には、職業安定局の指示の下、運用事業者、関連事業者等と協力して、受託者が主導的に作業を進めること。,その他
7207,受託者は職業安定局の要請に基づき、必要に応じてテスト結果の証跡を職業安定局に提出すること。,その他
7208,テストデータは、テスト観点に応じて、疑似データ又は本番データのいずれか適切な方を選択して用いること。,その他
7209,疑似データを用いる場合は、受託者が作成すること。,その他
7210,受託者は、総合テスト実施計画書において本番データをテストデータとして利用することが承認された場合は、プロジェクトの定める要領に従って、職業安定局へ借用を申し出ること。,その他
7211,また、その取扱いについても、所定の要領に従い適切に取り扱うこと。,その他
7212,総合テストにおいて障害等が発生した場合は、受託者は、必要に応じてソフトウェア保守事業者等関連事業者に対し協力を要請し、受託者が主導的に原因究明、対応策検討、対応策実施を行うこと。,その他
7213,総合テストは、職業安定局が指定する保守環境で実施すること。,その他
7214,なお、この保守環境は職業安定局が用意する。,その他
7215,本情報システムの障害対応等によって、テストスケジュール又は環境の利用等において制約を受ける場合が考えられるが、受託者は、このリスクを考慮の上計画をたてること。,その他
7216,受託者は、総合テストを開始する前に、総合テストの環境が正しく構築されていることを確認すること。,その他
7217,環境の設定に当たっては、受託者が主導的に作業を進めること。,その他
7218,受託者は、本情報システムとの連携に係るテストを含めること。,その他
7219,このテストの実施時期について、関連事業者と調整の上、総合テスト実施計画書で明確にすること。,その他
7220,なお、総合テストの実施範囲については、原則として本調達に係る作業が影響を与える機能のすべてを対象とする。,その他
7221,受託者は、実施内容について職業安定局の承認を得ること。,その他
7222,受託者は、構築する本情報システムが耐えられる負荷を測定し、本情報システムの信頼性及び耐用範囲を明確にするため、負荷テストを実施すること。,その他
7223,負荷テストの実施に当たっては、対象範囲、クライアント数、データ量、負荷を与える時間、測定対象値、目標値等の前提条件について、職業安定局と協議の上規定すること。,保守性
7224,受託者は、本調達の改修により、セキュリティに関するテストが必要となる場合は、総合テストにおいてサーバのポートスキャンの実施を含めた、インターネットからのセキュリティ要件に関するテストアタックテスト等を実施すること。,その他
7225,また、テストの結果において、セキュリティ脆弱性が発覚した場合は、対策についても実施すること。,その他
7226,本調達対象外の機能と共通で使用しているモジュール、データベース等の改修を行う場合、本調達対象外の機能に影響が発生していないことについても、受託者の責任でテストを実施すること。,保守性
7227,受託者は、職業安定局及び運用事業者が実施する受入テストに対して次の支援を行うこと。,その他
7228,また、受託者は、上記の作業に伴って必要な作業を実施すること。,その他
7229,受託者の作業に当たっては、下記の要件を満たすこと。,その他
7230,受入テスト実施計画書案、受入テスト実施手順書案、受入テストデータ案、受入テストシナリオ案の作成に当たっては、職業安定局と十分な調整を行うこと。,その他
7231,‧受託者は、受入テスト支援に係る作業の実施に当たって、他事業者との調整等が必要な場合には、職業安定局の指示の下、運用事業者、関連事業者等と協力して、受託者が主導的に作業を進めること。,その他
7232,受入テストにおいて障害等が発生した場合には、受託者は、ソフトウェア保守事業者等関連事業者と協力して、受託者が主導的に原因究明、対応策検討、対応策実施を行うこと。,その他
7233,受託者は、ソフトウェア保守事業者、運用事業者等と協力して、本情報システムのアプリケーションソフトウェア等を本番環境に導入すること。,その他
7234,受託者の作業に当たっては、あらかじめソフトウェア保守事業者、運用事業者等と調整の上、移行実施計画書を作成し、職業安定局の承認を得ること。,その他
7235,受託者は、ソフトウェア保守事業者、運用事業者等と調整の上、移行実施計画書に基づいて移行実施要領、移行実施手順書を作成し、職業安定局の承認を得ること。,その他
7236,移行の実施後、受託者は、ソフトウェア保守事業者、運用事業者等と協力して、移行されたアプリケーションソフトウェア等の検証を行い、結果を移行結果報告書として取りまとめ、職業安定局に報告の上、検証完了の承認を得ること。,その他
7237,受託者の作業に当たっては、下記の要件を満たすこと。,その他
7238,移行実施計画書には、移行時の障害発生等による切り戻し作業等、緊急時や不測の事態が発生した場合の対応策を含めること。,その他
7239,受託者は、移行の準備として、業務、システムの特性に応じて最適な回数を決定した上で移行リハーサルを実施し、移行及び切戻しに係る手順、時間等の実現性、役割分担や連絡体制の妥当性、移行ツールの品質を検証するとともに、移行データの正しさの確認等を行うこと。,その他
7240,また、不測の事態に備えて、コンティンジェンシープランを策定し、業務継続性を確保すること。,その他
7241,受託者は、ソフトウェア保守事業者、運用事業者等と協力して、移行作業のリハーサルを実施すること。,その他
7242,また、リハーサルにおいては可能な限り本番移行と同様の環境、手順を準備し実施すること。,その他
7243,またリハーサル実施結果から移行スケジュールを検証して職業安定局に報告し承認を得ること。,その他
7244,受託者は、必要に応じて移行ツールを作成すること。,その他
7245,移行ツールを作成する場合には、結合テスト、総合テストと並行して移行ツールに関するテスト等を行い、受入テスト後速やかに移行作業に取りかかれるよう作業を行うこと。,その他
7246,移行作業を進めるに当たっては、本作業と並行して障害対応及びその他の変更管理案件等の実施が想定されており、ドキュメントやアプリケーションソフトウェアの変更が随時発生していることに留意し、関連事業者と十分に調整した上で、関連作業全体の移行実施計画書を作成すること。,その他
7247,受託者は、移行実施手順書の作成において、安全に移行するという観点から、整合性、妥当性、確実性に配慮して作成を行うこと。,その他
7248,受託者は、移行リハーサルにおいて本番データを利用することが職業安定局から承認された場合は、プロジェクトの定める要領に従って、職業安定局へ借用を申し出ること。,その他
7249,また、その取扱いについても、所定の要領に従い適切に取り扱うこと。,その他
7250,受託者は、ソフトウェア保守事業者、運用事業者等と調整の上、必要に応じて開発対象に係る設定変更や構成変更を行い、本番環境への導入を実施すること。,その他
7251,受託者は、職業安定局が保有するシステム、及びそれらのシステムと連携する各種システムの運用を停止させる等の影響を可能な限り与えることなく作業を行うこと。,その他
7252,ただし、やむを得ず影響を与えざるを得ない場合は、職業安定局と協議の上、その指示に従うこと。,その他
7253,また、影響を与えないための対策について、その根拠を示した上で具体的に提案すること。,その他
7254,移行において障害等が発生した場合には、受託者は、ソフトウェア保守事業者等関連事業者と協力して、受託者が主導的に原因究明、対応策検討、対応策実施を行うこと。,その他
7255,受託者は、リリース後契約期間内については、オンサイトにて重点監視を行うこと。,その他
7256,本調達における契約終了後は、別途調達する運用事業者ヘルプデスクを含むが引き継いで作業を実施することとなるため、運用引継ぎ計画書を作成し、職業安定局の承認を得ること。,その他
7257,既存の運用手順書、事務処理要領、その他運用関連ドキュメントの更新、必要に応じた新規ドキュメントの作成等、本調達により変更されたアプリケーションソフトウェアの運用に必要となる文書を整備すること。,保守性
7258,文書の整備に当たっては、標準管理要領に従い、不整合の発生防止等、品質の向上に努めること。,その他
7259,なお、文書の整備については、職業安定局の承認を経て確定するものとする。,その他
7260,引継ぎ作業については、本情報システムの運用に空白期間を生じさせないように運用事業者の承認を得て完了させ、結果を運用引継ぎ結果報告書として職業安定局に報告し、承認を得ること。,その他
7261,引継ぎ完了直後から、運用事業者によるヘルプデスクが問合せに対応できるよう留意すること。,その他
7262,契約期間内に引継ぎが完了しない場合は、受託者の責任と負担において引継ぎ完了まで継続して実施すること。,その他
7263,本調達における契約終了後は、別途調達するソフトウェア保守事業者が引き継いで作業を実施することとなるため、保守引継ぎ計画書を作成し、職業安定局の承認を得ること。,その他
7264,本調達により変更されたアプリケーションソフトウェアの保守に必要となる文書を整備すること。,保守性
7265,文書の整備に当たっては、標準管理要領に従い、不整合の発生防止等、品質の向上に努めること。,その他
7266,なお、文書の整備については、職業安定局の承認を得て確定するものとする。,その他
7267,引継ぎ作業については、本情報システムの安定稼働に影響を及ぼさないようにソフトウェア保守事業者の承認を得て完了させ、結果を保守引継ぎ結果報告書として職業安定局に報告し、承認を得ること。,その他
7268,保守対象となるソフトウェア資源、ソフトウェアドキュメント等の一覧を、ソフトウェア保守事業者に提示すること。,その他
7269,ソフトウェア保守作業に係わる留意事項等もソフトウェア保守事業者に引き継ぐこと。,その他
7270,契約期間内に引継ぎが完了しない場合は、受託者の責任と負担において引継ぎ完了まで継続して実施すること。,その他
7271,受託者は、稼働後から本調達に係る契約満了までの期間において、運用事業者及びソフトウェア保守事業者からの問合せに対応すること。,その他
7272,受託者が変更したアプリケーションソフトウェアに係る障害が発生した場合、しかるべき要員が、0時間0日運用組織から障害発生に係る連絡を直接受け付けることが可能なこと。,その他
7273,また障害受付時の体制、内部連絡方法、関連事業者連絡方法特に運用事業者との連絡方法を具体的に提示すること。,その他
7274,受託者は、運用組織が行う障害の一次切分けの支援として、障害状況の調査、ソフトウェアの情報提供、対策会議への出席等を運用組織からの指示に従い、速やかに行うこと。,その他
7275,運用組織又はソフトウェア保守事業者は一次切分けの後、事象の緊急性や重要性を勘案した上で本調達の受託者に対しオンサイト対応を要請することがある。,その他
7276,受託者は、障害について、運用組織からの連絡を受けた時から0時間以内を目標に、運用組織と協議の上で決定した期間内に本対処又は暫定対処を実施すること。,その他
7277,なお、「暫定対処」とは、障害からの完全な復旧を迅速に行うことが困難な場合、業務に支障がないと職業安定局が認める状態まで復旧させる一時的な措置を指す。,その他
7278,受託者は、障害内容、発生原因、対策内容等を記述した「障害報告書」を作成し、運用組織への報告を行うこと。,その他
7279,障害報告で報告する項目については、設計、開発実施計画書の中でフォーマットを定め、職業安定局の承認を得ること。,その他
7280,なお、障害発生時の情報としてログ等がある場合は、「障害報告書」と併せて提出すること。,その他
7281,なお、業務への影響度や緊急性の高い障害については、運用組織からの連絡を受けてから0時間以内に報告すること。,その他
7282,ただし、0時間以内の報告が困難な場合は、運用組織と協議の上、定めた期日までに報告すること。,その他
7283,その他の障害については、運用組織と協議の上、定めた期日までに報告すること。,その他
7284,受託者は、本調達のために負担した機器の撤去、搬出、職業安定局の貸与した作業場所の原状回復及び物品の返却を行うこと。,その他
7285,これらの不備により、運用事業者及びソフトウェア保守事業者の役務に支障をもたらさないこと。,その他
7286,受託者は、職業安定局、運用事業者等が本調達により実装される機能を利用する際の操作方法や運用方法等を記載したマニュアル及び事務処理要領を更新し、職業安定局の承認を得ること。,その他
7287,受託者の作業に当たっては、マニュアルの記載内容等について、職業安定局と十分な調整を行った上で作成することを要件とする。,その他
7288,次期システム利用者は主に本省職員、都道府県労働局及び労働基準監督署の職員等である。,その他
7289,表0-0に次期システムの利用者の種類、特性の一例を示す。,その他
7290,表0-0次期システムの利用者,その他
7291,本省職員厚生労働省本省職員、都道府県労働局からの問合せに対応する。,その他
7292,地方局職員都道府県労働局職員、窓口業務を行い、画面操作等を行う。,その他
7293,監督署職員労働基準監督署職員、窓口業務を行い、画面操作等を行う。,その他
7294,事業受託者等職員、労災診療被災労働者援護事業受託者ric、独立行政法人福祉医療機構職員及び安全衛生技術センターの職員が労働基準行政システムの画面操作等を行う。,その他
7295,労災指定医療機関等職員、労災診療費等請求に係る労災レセプトをオンライン又は電磁的記録媒体で申請する。,その他
7296,次期システムのユーザビリティに準拠すること。,その他
7297,詳細については、別添0「閲覧資料一覧」の項番0「基本設計書」を参照すること。,その他
7298,次期システムのアクセシビリティに準拠すること。詳細については、別添0「閲覧資料一覧」の項番0「基本設計書」を参照すること。,その他
7299,業務アプリケーションの設計方針として、次期システムを構成する各コンポーネントソフトウェアの機能を特定単位で分割したまとまりにおいて、保守性改修時の影響範囲の極小化等及び可読性を確保する。,その他
7300,次期システムのシステム構成図を別添0「次期システム構成図」に示す。,その他
7301,次期システムの改修が行われる場合、改修業者は採用する開発方法言語、システム方式等やスケジュール、要員計画を労災保険業務課等に指定された期日までに労災保険業務課等に提示し、承認を受ける必要がある。,その他
7302,なお、改修の対象となるソースコードに対して、開発のために必要な環境については、改修業者の負担と責任において用意される。,その他
7303,また、労災保険業務課が許可した場所のみで作業が実施される。,その他
7304,労働基準行政システムは、拠点に設置された端末及びセンタで利用されるものである。,その他
7305,以下に想定されるハードウェア規模等を記載する。,その他
7306,なお、一部の情報は現時点の規模を参考として記載している。,その他
7307,想定されるサーバ、端末等の台数を表0-0及び表0-0に示す。,性能効率性
7308,表0-0機器台数一覧本番環境次期システム,その他
7309,サーバ0台,性能効率性
7310,fatclient端末及びocrスキャナ0台0台,性能効率性
7311,thinclient端末0台0台,性能効率性
7312,汎用プリンタ0台0台,性能効率性
7313,モバイル端末0台0台,性能効率性
7314,ｋｃ端末0台0台,性能効率性
7315,免許証発行機0台,その他
7316,台数については、今後変動することがある。,その他
7317,表0-0機器台数一覧総合試験環境次期システム,その他
7318,サーバ0台,性能効率性
7319,fatclient端末及びocrスキャナ0台,性能効率性
7320,thinclient端末0台,性能効率性
7321,汎用プリンタ0台,性能効率性
7322,モバイル端末0台,性能効率性
7323,ｋｃ端末0台,性能効率性
7324,免許証発行機0台,性能効率性
7325,台数については、今後変動することがある。,その他
7326,次期システムのプログラム言語は、java、c#、cobol、c、helpworkshop、visualc、c++等である。,その他
7327,また、現行システムのシステムごとのプログラム言語、プログラム規模等の詳細情報を別添0「業務アプリケーションに係る詳細情報」に示す。,その他
7328,表0-0現行システムのソフトウェア規模一覧,その他
7329,労働基準行政情報システム、労災行政情報管理システム0ksteps,性能効率性
7330,労災レセプト電算処理システム0ksteps,性能効率性
7331,合計0ksteps,性能効率性
7332,ソフトウェア開発規模については、今後変動することがある。,その他
7333,ソフトウェア開発規模は、注釈行及び空白行を除いた値である。,その他
7334,労働基準行政情報システム、労災行政情報管理システムは平成0年0月時点、労災レセプト電算処理システムは平成0年0月時点の開発規模である。,その他
7335,参考情報として、現行システムの画面数を表0-0に示す。,その他
7336,表0-0画面数,その他
7337,労働基準行政情報システム、労災行政情報管理システム0,その他
7338,労災レセプト電算処理システム0,その他
7339,合計0,その他
7340,画面数については、今後変動することがある。,その他
7341,労働基準行政情報システム、労災行政情報管理システムについては平成0年0月時点、労災レセプト電算処理システムについては平成0年0月時点の画面数である。,その他
7342,参考情報として、現行システムの帳票数を表0-0に示す。,その他
7343,表0-0帳票数,その他
7344,労働基準行政情報システム、労災行政情報管理システム0,その他
7345,労災レセプト電算処理システム0csvファイルを含めると0,その他
7346,合計0csvファイルを含めると0,その他
7347,帳票数については、今後変動することがある。,その他
7348,労働基準行政情報システム、労災行政情報管理システムについては平成0年0月時点、労災レセプト電算処理システムについては平成0年0月時点の帳票数である。,その他
7349,次期システムで必要となるデータ量を表0-0に示す。,性能効率性
7350,なお、一覧に記載しているデータ量は平成0年0月の次期システムの終局時点において、想定されるデータ量である。,その他
7351,表0-0データ量,その他
7352,基準業務データ0gb,性能効率性
7353,労災業務データ0gb,性能効率性
7354,労災レセプト業務データ0gb,性能効率性
7355,電子申請業務データ0gb,性能効率性
7356,ocr読取イメージデータ0gb,性能効率性
7357,oaファイル共有フォルダ0gb,性能効率性
7358,監視ログデータ0gb,性能効率性
7359,ユーザ情報マスタ0gb,性能効率性
7360,バックアップカタログ0gb,性能効率性
7361,システムバックアップデータ0gb,性能効率性
7362,oaファイル：microsoftoffice等のoaソフトを使用して作成されたファイル,その他
7363,次期システムのオンライン応答時間に係る性能要件を表0-0、バッチ処理許容時間に係る性能要件を表0-0に示す。,その他
7364,オンラインバッチ処理実行については、オンラインサービス時間内のオンライン処理性能に影響しないことが求められる。,その他
7365,次期システムの信頼性に係る事項を以下に示す。,その他
7366,次期システムの可用性に係る事項を以下に示す。,その他
7367,稼働率は原則0.0%とする。稼働予定時間に対して実際に稼働した時間の割合であり、以下の算式により算出する。,その他
7368,なお、稼働率についてはサーバ等が停止した場合でも、冗長化構成等により、サービス提供を継続できた場合は、停止とはみなさない。,その他
7369,稼働率%={0-単位期間内の停止時間÷単位期間内の稼働予定時間}×0,その他
7370,mttr平均障害復旧時間は原則0時間以内とする。,信頼性
7371,なお、サーバ、ネットワーク機器等の単独の障害であっても、当該基準を満たす必要がある。,その他
7372,mttr＝単位期間内の総障害復旧時間の合計÷単位期間内の総障害件数,その他
7373,冗長性を確保したサーバ構成とし、システム障害が発生した際には迅速かつ円滑な切り替えによって、業務機能の速やかな回復を可能とする。,信頼性
7374,単一のハードウェア障害又は故障部位の交換による業務機能への影響を局所化するため、ハードウェアの単一障害点をできる限り排除した構成とする。,信頼性
7375,次期システムの完全性に係る事項を以下に示す。,その他
7376,データの紛失や改ざんが発生した際、データの復旧を確実に行うため、別添0「閲覧資料一覧」の項番0「運用に係るドキュメント」に示すとおり、データのバックアップ取得を定期的に可能とすること。,その他
7377,表0-0に参考として現行システムにおける遠隔地バックアップ取得状況を示す。,その他
7378,データを第三者や権限のないユーザが参照できないよう、dbのアクセス権限を正しく設定し、必要に応じて暗号化を実施する。,セキュリティ
7379,不正アクセス及びシステム障害等について、その原因究明のために必要な証跡アクセスログ、イベントログ等を記録し、出力可能にする。,セキュリティ
7380,将来の制度の変更や、対象業務の追加、変更に対する拡張性を考慮し、以下に示すように柔軟性を持った開発技法を採用する。,移植性
7381,利用者の増加やアクセスの増加に対して、サーバやディスクの増強及び負荷分散等が容易に対応可能な拡張性と柔軟性を確保する。,移植性
7382,計算処理や帳票出力等、プログラムを機能範囲ごとに部品化することにより、法改正等に伴うシステム改修範囲及びテスト範囲を極小化する。,保守性
7383,法改正、規定や組織変更等による業態変化に応じた、業務機能の追加及び変更が容易なシステム構成とする。,保守性
7384,連携内容の変更等に柔軟に対応する。,その他
7385,バージョンアップに備え、特定のｏｓバージョンに依存する機能を極小化することや、バージョンアップ対応に必要な調査、作業を実施すること等により、システムの円滑な運用を可能とする。,保守性
7386,システム構成として、ハードウェア、ソフトウェア等は、可能な限り特定の製品依存を避け、インタフェース、データ形式等もオープンな技術仕様とする。,移植性
7387,本件受託者は、地震、火災、洪水等の自然災害やテロの脅威による危険性やリスクに対する評価等を行い、その災害等ごとに事前対策、発生後対策等を明らかにし、その実施方法を記載した災害対策用管理要領を作成すること。,その他
7388,また、災害対策用管理要領を適宜見直し、改定すること。,その他
7389,災害対策用管理要領に基づいて災害対策を年次で実施の上、災害対策実施報告書を作成し、労災保険業務課等に報告すること。,その他
7390,災害発生時における円滑かつ迅速な対応のため、定常時から年0回程度、災害発生時における運用及び保守の体制への移行について訓練を行うこと。,その他
7391,また、当該訓練の結果を基に「労働基準行政システム運用継続計画」仮称を見直し、必要に応じて改定すること。,その他
7392,以下に情報セキュリティに係る要件を示す。,その他
7393,本件受託者は運用管理業務に係る部分について以下の要件を満たすように作業を実施すること。,その他
7394,本件受託業務の実施においては、厚生労働省情報セキュリティポリシー等を遵守すること。,その他
7395,また、厚生労働省情報セキュリティポリシー等の見直しが実施された場合は、その内容を適切に反映し、情報セキュリティ対策の見直しを行うこと。,その他
7396,次期システムの権限要件については別添0「閲覧資料一覧」の項番0「詳細設計書」を参照すること。,その他
7397,以下のセキュリティ機能が具体化され、実装されている。,その他
7398,システムへのアクセスを業務上必要な者に限るための機能,セキュリティ
7399,システムに対する不正アクセス及びウイルス、不正プログラム感染等のインターネットを経由する攻撃及び不正等への対策機能,セキュリティ
7400,システムにおける事故及び不正の原因を事後に追跡するための機能システムに含まれる構成要素サーバ装置、端末等のうち、時刻設定が可能なものについては基準となる時刻に当該構成要素の時刻を同期させ、ログに時刻情報も記録されるように設定されている。,セキュリティ
7401,以下の脆弱性対策を実施すること。,セキュリティ
7402,情報システムセキュリティ責任者は、重点的に守るべき業務、情報を取扱う情報システムについて高度サイバー攻撃対処のためのリスク評価等のガイドラインに従って対策を実施すること。,その他
7403,本調達に係る業務の遂行において情報セキュリティの侵害又はそのおそれがある場合には、速やかに厚生労働省に報告すること。,その他
7404,これに該当する場合には、以下の事象を含む。,その他
7405,システムの運用、保守、点検の際に導入する製品ソフトウェア及びハードウェアについては、当該システムのライフサイクルシステム利用期間の終了までにおけるサポート部品、セキュリティパッチの提供等が継続される製品を導入するように、関係業者を管理すること。,その他
7406,サポートライフサイクルポリシーが事前に公表されていない製品を導入する場合は、サポートが継続して行われるように後継製品への更新計画を関係業者に提出させること。,その他
7407,本調達に係る業務の遂行における情報セキュリティ対策の履行状況について、厚生労働省から以下の報告を求めた場合には速やかに提出すること。,その他
7408,厚生労働省が別途実施する第三者による情報セキュリティ監査に対応すること。,その他
7409,本調達に係る業務の遂行において、本件受託者における情報セキュリティ対策の履行が不十分であると認められる場合、本件受託者は厚生労働省の求めに応じ、厚生労働省と協議の上、合意した対応を実施すること。,その他
7410,次期システムを構成するソフトウェア、機器等を変更する場合、itセキュリティ評価及び認証制度に基づく認証を取得している製品を関係業者が積極的に採用するように管理すること。,セキュリティ
7411,採用に当たっては以下の資料を参照すること。,その他
7412,「iso、iec0を活用した調達のガイドブックversion0.0平成0年0月0日経済産業省商務情報政策局情報セキュリティ政策室」,その他
7413,「it製品の調達におけるセキュリティ要件リスト平成0年0月0日経済産業省」,その他
7414,次期システムにおけるハードウェア構成、ソフトウェア構成及びネットワーク構成等の詳細については、別添0「閲覧資料一覧」の項番0「基本設計書」を参照すること。,その他
7415,テストを実施する関係業者又は改修業者以下「テスト実施者」という。は、業務アプリケーションの仕様に基づく修正又は業務要件や業務アプリケーションの機能、仕様の変更に基づく改修以下「修正又は改修」という。等を行い、その過程でテストを実施する。,その他
7416,本件受託者は、テスト実施者のテスト実施に際し以下内容を行うこと。,その他
7417,テストの実施に当たり、関係業者等に影響する内容の把握及び関係業者等との調整を行う,その他
7418,テスト実施者がテストに係る納入成果物を労災保険業務課等に提示する前に、労災保険業務課等の指示がある場合は、本件受託者は提示内容を確認し、適宜修正等の対応をさせること。,その他
7419,参考としてテスト実施者がテスト実施に当たり、遵守する要件を以下に示す。,その他
7420,テスト実施者は、次期システムの改修を行った場合、単体テスト、結合テスト、総合テストの各テスト工程において共通する以下要件を遵守する。,その他
7421,テスト実施者は、テスト体制、テスト環境、作業内容、作業スケジュール、テストシナリオ、合否判定基準等を記載したテスト計画書を作成し、事前に労災保険業務課の承認を受ける。,その他
7422,テスト実施者は、テストの管理主体としてテストの管理を実施するとともに、その結果と品質に責任を負う。,その他
7423,テスト実施者は、労災保険業務課又は運用管理業者を通じて、関係業者及び連携システム関係者との作業調整を行う。,その他
7424,各テストの実施途中に、労災保険業務課等がそれまでのテスト結果の報告をテスト実施者に求めた場合は、これに従う。,その他
7425,テスト実施者は、各テスト終了時に実施内容、品質評価結果及び次工程への申し送り事項等について労災保険業務課等と協議の上、テスト報告書を作成し、労災保険業務課の承認を得る。,その他
7426,テストツールは、テスト実施者で準備する。,その他
7427,テストデータは、原則としてテスト実施者で準備する。,その他
7428,テストデータの管理は、テスト実施者が責任を持って行う。,その他
7429,なお、テスト工程ごとのテスト計画書にテストデータの種類等を記載し、使用したテストデータはテスト結果とともにテスト実施者が電磁的記録媒体で納入する。,その他
7430,単体テスト、結合テストはテスト実施者にて用意する開発環境で実施し、総合テストは労災保険業務課が用意した総合試験環境で実施する。,その他
7431,テスト実施者は連携システムと関連する機能の修正等を行った場合、連携システム関係者と調整して連携テストを実施する。,その他
7432,また、連携システムにおいて、次期システムと関連する機能の修正等を行った場合においても、連携システム関係者と協力及び調整して連携テストを実施する。,その他
7433,テストに係る納入成果物については表0-0の「テストの概要」欄における＜報告内容＞に示すとおりである。,その他
7434,関係業者は、修正又は改修を行った場合、表0-0に示すテストを実施し、要求に沿った修正又は改修がなされていること、及び既存システムの動作に影響を与えないことを検証する。,保守性
7435,関係業者は、機能の改修部分について本番稼働の可否を判断するための稼働判定基準を作成の上、労災保険業務課の意思決定者が合理的な判断をできるように稼働判定結果の報告を行う。,その他
7436,本件受託者は関係業者による当該報告の取りまとめを実施すること。,その他
7437,報告に基づき労災保険業務課が意思決定を行うことをもって、本番稼働を行う。,その他
7438,労災保険業務課等が受入テスト、本番移行開始前工程レビュー及び移行計画書のレビュー結果を踏まえて移行判定を行う際、関係業者は判定に必要となる資料の提示を行う。,その他
7439,また関係業者は判定結果を踏まえ、本番移行開始までに指摘事項等の対応を行う。,その他
7440,本件受託者は、関係業者による当該資料提示から本番移行開始までの指摘事項等の対応までの作業について作業状況の確認及び作業の推進のための指示を行うこと。,その他
7441,本件受託者は、次期更改ap改修業者、次期更改ap追加改修業者、業務改善ap改修業者、新元号対応等ap改修業者、現行基準労災統括、ap保守業者及び現行レセプト統括、ap保守業者からの引継ぎに際し、平成0年0月からの本番環境の運用に影響が出ないよう十分に考慮した上で確実に引継ぎを受け、引継報告書を作成すること。,その他
7442,本件受託者は次々期運用管理業者への引継ぎに際し、継続して対応が必要となる問題管理簿の仕掛中案件の対応等について教育訓練を実施すること、及び運用管理業務の作業内容、仕掛中案件、作業実績、留意事項、業務理解に資する情報等を記載した業務引継書を作成すること。,その他
7443,なお、教育及び業務引継書の作成に関して労災保険業務課等から別途指示があった作業は実施すること。,その他
7444,本件受託者は、運用業者の次期運用業者への引継ぎに際し、業務アプリケーション等の仕様や運用要件等に係る教育、情報提供等の内容を確認し、適宜指摘等を行うこと。,その他
7445,本件受託者は、本業務の遂行に当たり以下ドキュメントの内容を把握すること。,その他
7446,中長期運用、保守作業計画書、運用計画書、運用設計書、運用マニュアル、機械処理手引等以下「運用ドキュメント」という。,その他
7447,保守作業計画書、保守設計書、保守実施要領、保守関連ドキュメント次期更改ap改修業者等が必要に応じて作成した、作業プロセスや規約内容を保管するドキュメント以下「保守ドキュメント」という。,その他
7448,基本設計書、詳細設計書、プログラム設計書、システム方式設計書、構成設計書、環境定義書等以下「設計ドキュメント」という。,その他
7449,本件受託者は、本業務の遂行に当たり以下ドキュメントを作成し、労災保険業務課の承認を得ること。,その他
7450,本件受託者は、エスカレーションインシデントを問合せ又は障害に切り分けた上、以下対応を実施すること。,その他
